No.,当前最大误差(同输入),全局最大误差(同输入),引起最大误差的输入编号1,当前最大误差(同算子),全局最大误差(同算子),引起最大误差的输入编号2
0,6.1035156e-05,6.1035156e-05,0,2.2351742e-08,2.2351742e-08,0
1,0.00030517578125004163,0.00030517578125004163,151,5.5879354e-08,5.5879354e-08,311
2,0.00030519068,0.00030519068,1144,5.5879354e-08,5.5879354e-08,1406
3,0.0003051757812500555,0.00030519068,2849,5.401671e-08,5.5879354e-08,2399
4,0.00030517578124999306,0.00030519068,3574,5.5879354e-08,5.5879354e-08,3437
5,0.00030518323,0.00030519068,4817,5.9604645e-08,5.9604645e-08,4132
6,0.0002746787,0.00030519068,5459,5.401671e-08,5.9604645e-08,5084
7,0.00030519813,0.00030519813,6811,5.401671e-08,5.9604645e-08,6305
8,0.00030519068,0.00030519813,7122,4.4703484e-08,5.9604645e-08,7001
9,0.00025943108,0.00030519813,8670,5.2154064e-08,5.9604645e-08,8632
10,0.00030517578124999306,0.00030519813,9722,5.5879354e-08,5.9604645e-08,9341
11,0.00024416298,0.00030519813,10532,5.2154064e-08,5.9604645e-08,10908
12,0.00024414062500004163,0.00030519813,11927,5.9604645e-08,5.9604645e-08,11350
13,0.00028993003,0.00030519813,12954,5.5879354e-08,5.9604645e-08,12299
14,0.00030518323,0.00030519813,13367,5.2154064e-08,5.9604645e-08,13497
15,0.00024417043,0.00030519813,14565,5.401671e-08,5.9604645e-08,14124
16,0.0002746787,0.00030519813,15221,4.8428774e-08,5.9604645e-08,15290
17,0.0002441611,0.00030519813,16139,4.4703484e-08,5.9604645e-08,16204
18,0.0001831241,0.00030519813,17433,5.401671e-08,5.9604645e-08,17685
19,0.0002746731,0.00030519813,18144,4.4703484e-08,5.9604645e-08,18209
20,0.00030519813,0.00030519813,19178,5.2154064e-08,5.9604645e-08,19748
