No.,当前最大误差(同输入),全局最大误差(同输入),引起最大误差的输入编号1,当前最大误差(同算子),全局最大误差(同算子),引起最大误差的输入编号2
0,6.104261e-05,6.104261e-05,0,2.2351742e-08,2.2351742e-08,0
1,0.0002441406250000139,0.0002441406250000139,672,5.2154064e-08,5.2154064e-08,328
2,0.00024414062499998612,0.0002441406250000139,1492,4.4703484e-08,5.2154064e-08,1224
3,0.00022890419,0.0002441406250000139,2117,4.4703484e-08,5.2154064e-08,2387
4,0.00024417043,0.00024417043,3221,5.2619725e-08,5.2619725e-08,3588
5,0.00024417043,0.00024417043,4378,5.9604645e-08,5.9604645e-08,4950
6,0.0003052093,0.0003052093,5191,3.7252903e-08,5.9604645e-08,5538
7,0.0002441518,0.0003052093,6270,5.2154064e-08,5.9604645e-08,6590
8,0.0002441667,0.0003052093,7630,3.9115548e-08,5.9604645e-08,7147
9,0.00030518323,0.0003052093,8615,5.2154064e-08,5.9604645e-08,8967
10,0.00028992072,0.0003052093,9583,5.9604645e-08,5.9604645e-08,9006
11,0.00027467683,0.0003052093,10684,5.2154064e-08,5.9604645e-08,10942
12,0.00024414062500004857,0.0003052093,10990,5.2154064e-08,5.9604645e-08,11125
13,0.00026702974,0.0003052093,12755,5.5646524e-08,5.9604645e-08,12367
14,0.00027467683,0.0003052093,13092,5.2154064e-08,5.9604645e-08,13485
15,0.00024417043,0.0003052093,14518,5.2154064e-08,5.9604645e-08,14106
16,0.00030520558,0.0003052093,15588,5.2154064e-08,5.9604645e-08,15279
17,0.00032045878,0.00032045878,16183,4.4703484e-08,5.9604645e-08,16243
18,0.0002441406250000139,0.00032045878,17209,4.8428774e-08,5.9604645e-08,17656
19,0.00018313155,0.00032045878,18480,5.2154064e-08,5.9604645e-08,18641
20,0.00030519813,0.00032045878,19640,4.8428774e-08,5.9604645e-08,19410
