No.,当前最大误差(同输入),全局最大误差(同输入),引起最大误差的输入编号1,当前最大误差(同算子),全局最大误差(同算子),引起最大误差的输入编号2
0,5.6013465e-05,5.6013465e-05,0,3.2000244e-05,3.2000244e-05,0
1,0.000251472,0.000251472,597,5.4822636719353834e-05,5.4822636719353834e-05,862
2,0.00021594018,0.000251472,1102,5.5275857e-05,5.5275857e-05,1722
3,0.00031104931269240743,0.00031104931269240743,2000,4.502362991264108e-05,5.5275857e-05,2242
4,0.0002316621877024999,0.00031104931269240743,3120,4.806266082049704e-05,5.5275857e-05,3418
5,0.0002137348,0.00031104931269240743,4355,5.1029027e-05,5.5275857e-05,4096
6,0.00022625923,0.00031104931269240743,5728,3.6545098e-05,5.5275857e-05,5887
7,0.00025246292,0.00031104931269240743,6463,3.373623e-05,5.5275857e-05,6638
8,0.0002771041988757286,0.00031104931269240743,7858,4.2907894e-05,5.5275857e-05,7164
9,0.00032913685,0.00032913685,8530,4.042476735615502e-05,5.5275857e-05,8861
10,0.00029441714,0.00032913685,9087,4.3064356e-05,5.5275857e-05,9884
11,0.0002891942100735692,0.00032913685,10957,4.7259757216470966e-05,5.5275857e-05,10959
12,0.0002891942100735692,0.00032913685,11009,4.788862213956149e-05,5.5275857e-05,11804
13,0.0002620548161447467,0.00032913685,12712,3.504008e-05,5.5275857e-05,12876
14,0.00028057396,0.00032913685,13774,2.9077248187348026e-05,5.5275857e-05,13906
15,0.00022906065,0.00032913685,14093,5.5007637e-05,5.5275857e-05,14093
16,0.00027692318,0.00032913685,15646,4.4096554109737673e-05,5.5275857e-05,15984
17,0.0002681468626131167,0.00032913685,16567,4.6417117e-05,5.5275857e-05,16924
18,0.00022948288233876069,0.00032913685,17811,5.5648546234007834e-05,5.5648546234007834e-05,17037
19,0.00024607778,0.00032913685,18742,3.9041042e-05,5.5648546234007834e-05,18342
20,0.00024608807764948254,0.00032913685,19149,2.9101968e-05,5.5648546234007834e-05,19857
