No.,当前最大误差(同输入),全局最大误差(同输入),引起最大误差的输入编号1,当前最大误差(同算子),全局最大误差(同算子),引起最大误差的输入编号2
0,0.00027424937148798345,0.00027424937148798345,519,5.9202313e-05,5.9202313e-05,729
1,0.00028329343,0.00028329343,182,5.418921435501253e-05,5.9202313e-05,368
2,0.000286114092613865,0.000286114092613865,814,5.033685148713926e-05,5.9202313e-05,22
3,0.00031467527,0.00031467527,464,5.7522683569261046e-05,5.9202313e-05,568
4,0.0002982622515442235,0.00031467527,920,5.3815544e-05,5.9202313e-05,419
5,0.00038409233,0.00038409233,986,5.5760145e-05,5.9202313e-05,856
6,0.00028833747,0.00038409233,540,5.135195728878453e-05,5.9202313e-05,131
7,0.0002915778515152727,0.00038409233,648,4.7289699564155574e-05,5.9202313e-05,19
8,0.00033135354488020297,0.00038409233,363,6.336719e-05,6.336719e-05,173
9,0.00030821846040957057,0.00038409233,581,5.2003212165849244e-05,6.336719e-05,816
10,0.00030361116,0.00038409233,668,7.3082745e-05,7.3082745e-05,371
11,0.0003226623,0.00038409233,358,5.570799e-05,7.3082745e-05,956
12,0.00035245717,0.00038409233,685,4.924434212501619e-05,7.3082745e-05,366
13,0.00033050776,0.00038409233,458,5.6758507661763824e-05,7.3082745e-05,283
14,0.00032202154,0.00038409233,218,5.7838857e-05,7.3082745e-05,158
15,0.0003575924069723069,0.00038409233,806,4.9762428e-05,7.3082745e-05,290
16,0.0003461234358790588,0.00038409233,928,4.8205256e-05,7.3082745e-05,866
17,0.00036357343,0.00038409233,211,5.8628456225416625e-05,7.3082745e-05,368
18,0.0003528422917427401,0.00038409233,505,5.5898591762928995e-05,7.3082745e-05,174
19,0.0003293391952782429,0.00038409233,276,5.6654215e-05,7.3082745e-05,569
